Date,SPX,XLF,SLV,QQQ,EEM,GDX,HYG,XLE,IWM,XLI,,,
08/30/2013,1632.97,15.78562,22.6,75.47,38.02,28.13,91.35,81.57,100.38,44.04,,,
09/03/2013,1639.77,15.916354,23.39,75.9,38.26,28.4,90.39,82.17,101.06,44.32,,,
09/04/2013,1653.08,16.041405,22.69,76.71,38.935,28.58,90.73,82.615,101.95,44.775,,,
09/05/2013,1655.08,16.077944,22.38,76.84,39.4,27.53,90.27,82.89,102.11,44.88,,,
09/06/2013,1655.17,16.077944,22.97,76.93,39.975,28.01,90.57,82.88,102.39,44.86,,,
09/09/2013,1671.71,16.26471,22.835,77.83,41.035,27.65,90.8,83.805,103.94,45.42,,,
09/10/2013,1683.99,16.455532,22.125,78.21,41.345,26.57,91.12,83.84,104.96,46.08,,,
09/11/2013,1689.13,16.475834,22.29,78.06,41.37,26.79,91.24,84.48,105.01,46.27,,,
09/12/2013,1683.42,16.358091,21.06,78.01,40.89,25.29,91.13,83.98,104.24,46.08,,,
09/13/2013,1687.99,16.398691,21.42,78.06,41.155,25.63,91.06,83.95,104.81,46.21,,,
09/16/2013,1697.6,16.581396,20.94,77.85,41.62,25.39,91.56,83.93,105.04,46.81,,,
09/17/2013,1704.76,16.662598,20.96,78.37,41.53,25.93,91.86,84.31,106.08,47.01,,,
09/18/2013,1725.52,16.808762,22.31,79.31,43.275,28.251,92.74,85.33,107.09,47.6,,,
09/19/2013,1722.34,16.743801,22.2,79.5,43.04,27.36,92.47,85.12,106.98,47.76,,,
09/20/2013,1709.91,16.585455,20.999,78.985,42.075,25.76,92.36,84.04,106.59,46.96,,,
09/23/2013,1701.84,16.349972,20.78,78.83,42.225,25.17,92.35,83.63,106.6,46.81,,,
09/24/2013,1697.42,16.248468,20.89,78.83,41.87,25.08,92.15,83.71,106.67,46.98,,,
09/25/2013,1692.77,16.337791,20.98,78.56,41.55,25.52,91.99,83.69,106.47,46.77,,,
09/26/2013,1698.67,16.337791,20.92,79.17,41.72,25.11,91.94,83.84,107.06,46.98,,,
09/27/2013,1691.75,16.27689,20.96,79.07,41.235,25.17,91.84,83.55,106.58,46.68,,,
09/30/2013,1681.55,16.163208,20.9,78.88,40.755,25.02,91.58,82.909,106.61,46.405,,,
10/01/2013,1695,16.27689,20.415,79.68,41.57,24.41,91.53,83.44,107.85,46.7,,,
10/02/2013,1693.87,16.272831,20.92,79.65,41.725,24.49,91.57,83.63,107.41,46.48,,,
10/03/2013,1678.66,16.150215,20.92,78.72,41.57,24.26,91.63,82.9,106.31,45.97,,,
10/04/2013,1690.5,16.280949,20.93,79.4,42.11,24.19,91.79,83.74,107.02,46.27,,,
10/07/2013,1676.12,16.094185,21.53,78.74,41.75,24.59,91.55,83.05,105.77,45.95,,,
10/08/2013,1655.45,15.891181,21.49,77.22,41.35,23.82,91.51,82.16,104.055,45.43,,,
10/09/2013,1656.4,15.943963,21.05,76.98,41.655,23.92,91.59,81.87,103.64,45.41,,,
10/10/2013,1692.56,16.398691,20.825,78.61,42.64,23.555,92.01,83.39,106.14,46.58,,,
10/11/2013,1703.2,16.492887,20.52,79.23,42.825,23.05,92.18,84.29,107.68,46.8,,,
10/14/2013,1710.14,16.573277,20.5,79.79,43.08,23.11,92.32,84.86,108.22,46.98,,,
10/15/2013,1698.06,16.451473,20.56,79.48,42.66,23.76,92.29,84.55,107.16,46.51,,,
10/16/2013,1721.54,16.796581,20.5,80.38,42.995,23.28,92.78,85.82,108.49,46.819,,,
10/17/2013,1733.15,16.947617,21.045,80.84,43.265,24.5,93.23,86,109.44,47.175,,,
10/18/2013,1744.5,16.980097,21.11,82.15,43.309,24.38,93.42,86.94,110.69,47.691,,,
10/21/2013,1744.66,16.946804,21.41,82.33,43.24,24.93,93.21,86.55,110.47,47.81,,,
10/22/2013,1754.67,16.979284,21.87,82.45,43.655,26.02,93.49,87.03,110.76,48.13,,,
10/23/2013,1746.38,16.841242,21.75,81.95,42.64,25.18,93.57,85.669,110.39,48.15,,,
10/24/2013,1752.07,16.865602,21.87,82.31,42.55,26.13,93.6,86.08,110.981,48.51,,,
10/25/2013,1759.77,16.938684,21.71,82.9,42.745,26.32,93.63,86.6,111.08,48.76,,,
10/28/2013,1762.11,16.898083,21.68,82.92,43,26.54,93.61,86.67,111.03,48.69,,,
10/29/2013,1771.95,16.946804,21.69,83.06,43.135,25.78,93.76,87.28,111.35,48.83,,,
10/30/2013,1763.31,16.877783,21.88,82.98,42.9,26.225,93.38,86.69,109.83,48.61,,,
10/31/2013,1756.54,16.699139,21.095,82.79,42.455,25.1,93.43,86.39,109.19,48.62,,,
11/01/2013,1761.64,16.742987,21.08,82.81,42.475,24.08,92.82,86.08,108.715,48.97,,,
11/04/2013,1767.93,16.751108,20.85,82.93,42.74,24.81,92.98,87.15,109.97,49.15,,,
11/05/2013,1762.97,16.662598,20.9,83.02,41.88,24.49,92.73,86.36,109.59,49.1,,,
11/06/2013,1770.49,16.739738,21,83,42.01,24.785,93,86.615,109.12,49.24,,,
11/07/2013,1747.15,16.552977,20.83,81.44,41.25,24.14,93.06,85.28,107.28,48.72,,,
11/08/2013,1770.61,16.938684,20.69,82.54,41.159,24.28,92.9,86.55,109.23,49.38,,,
11/11/2013,1771.89,16.942743,20.6,82.41,40.95,24.3,92.55,86.71,109.38,49.34,,,
11/12/2013,1767.69,16.7844,20,82.54,40.73,23.78,92.42,85.91,109.47,49.36,,,
11/13/2013,1782,16.926502,19.78,83.54,40.8,23.91,92.77,86.66,110.52,49.649,,,
11/14/2013,1790.62,17.076727,20.05,83.8,41.455,24.55,93.04,87.18,110.405,49.84,,,
11/15/2013,1798.18,17.157928,20,83.96,42.245,24.13,93.18,87.66,110.83,50.01,,,
11/18/2013,1791.53,17.149809,19.665,83.14,42.625,23.665,92.91,86.99,110.05,50.085,,,
11/19/2013,1787.87,17.174168,19.61,82.9,42.37,23.69,92.87,87.14,109.37,49.73,,,
11/20/2013,1781.37,17.121387,19.14,82.7,41.79,22.85,92.78,86.93,109.33,49.51,,,
11/21/2013,1795.85,17.36824,19.24,83.54,41.75,22.53,93.1,87.76,111.3,49.91,,,
11/22/2013,1804.76,17.450254,19.13,83.99,42.05,22.25,93.17,88.23,111.85,50.35,,,
11/25/2013,1802.48,17.474615,19.27,84.19,41.51,22.2,93.31,87.43,111.99,50.24,,,
11/26/2013,1802.75,17.458374,19.13,84.63,41.65,21.66,93.38,87.21,112.82,50.34,,,
